group,n,symbols,avg_abs_fwd_1d,median_abs_fwd_1d,p75_abs_fwd_1d,p90_abs_fwd_1d,abs_hit_fwd_1d_gt_2pct,abs_hit_fwd_1d_gt_5pct,directional_avg_fwd_1d,avg_abs_fwd_5d,median_abs_fwd_5d,p75_abs_fwd_5d,p90_abs_fwd_5d,abs_hit_fwd_5d_gt_2pct,abs_hit_fwd_5d_gt_5pct,directional_avg_fwd_5d,avg_abs_fwd_20d,median_abs_fwd_20d,p75_abs_fwd_20d,p90_abs_fwd_20d,abs_hit_fwd_20d_gt_2pct,abs_hit_fwd_20d_gt_5pct,directional_avg_fwd_20d,avg_abs_dd_5d,median_abs_dd_5d,avg_mfe_5d,median_mfe_5d,avg_5d_tradeable_excursion_proxy,median_5d_tradeable_excursion_proxy,p75_5d_tradeable_excursion_proxy
large_semiconductor_ai:non_abnormal,252,1,0.021532817948712476,0.016774963532687925,0.030010442984550634,0.04576879320906624,0.41832669322709165,0.06374501992031872,-0.0010605028088634565,0.05439041954608976,0.044320089535534346,0.07843030748355162,0.10713565481385076,0.757085020242915,0.43724696356275305,-0.008294225318452574,0.09502539155303627,0.090971160589844,0.12967837747393834,0.1729196410437713,0.9166666666666666,0.7583333333333333,-0.03260304723977446,0.05623624730310935,0.04380135331077817,0.04596286886012093,0.04030501089324612,0.08154018384537229,0.07515685489253765,0.10238074287010568
mega_semiconductor_ai:abnormal,64,1,0.03261966019432116,0.024258160237388582,0.03702412263304078,0.06682053243765566,0.5396825396825397,0.1746031746031746,0.0038498996738684623,0.06564711557749063,0.05740778618667752,0.08569136341200884,0.1337214815165759,0.8888888888888888,0.5873015873015873,0.015733463478870606,0.14688270487455593,0.08161178155041926,0.14886789741635864,0.25006318560416685,0.8,0.6545454545454545,-0.020119826983110923,0.06565096386729909,0.06527777777777777,0.07175500596861899,0.05994324081124103,0.10650852909698257,0.09741550695825041,0.13015321297097127
mega_semiconductor_ai:non_abnormal,248,1,0.029874041349473572,0.02086336287870144,0.037053911099918097,0.053526649974559776,0.5201612903225806,0.11693548387096774,-0.0015491508973275161,0.07912950196816125,0.05109983537003626,0.09040630167805197,0.1400708413156767,0.8278688524590164,0.5081967213114754,-0.010004894535542755,0.1564403017892029,0.09294729027468462,0.17236011779554072,0.3022713830309422,0.8565400843881856,0.6919831223628692,-0.04524108242531429,0.07262268620448081,0.04544201591539415,0.054535059068329825,0.05095450663992307,0.10939550757139353,0.08221662847611078,0.12734299477092412
mega_technology:abnormal,136,2,0.013171182729387824,0.007558168019263678,0.01761207776941165,0.032684258410955846,0.22794117647058823,0.029411764705882353,-0.001891260278360422,0.027644078813140655,0.022274432753874085,0.04164504681016515,0.05313155392360974,0.5514705882352942,0.13970588235294118,-0.0011978313074201608,0.05164899844672515,0.04644987004340978,0.074020308088842,0.1023843338117455,0.746031746031746,0.4603174603174603,-0.0030050975790065822,0.03135239875290184,0.024320514546712635,0.026468068396625997,0.02083112956618549,0.045969403731976936,0.0383430628394163,0.056706479121256426
mega_technology:non_abnormal,488,2,0.011122727820060203,0.00813086749875852,0.015233219544190907,0.02204294776893001,0.1440329218106996,0.00823045267489712,0.0009399197739332342,0.028326681858902764,0.02368005599646661,0.0368173981063403,0.05671371641171975,0.5753138075313807,0.12761506276150628,0.0020091549954667164,0.05064015965922528,0.04284365127689571,0.07068569228371988,0.10663767104647406,0.7641921397379913,0.40829694323144106,0.003378239605826489,0.025569447037395398,0.016964349261907263,0.02544369318499548,0.022334072343923816,0.04158877729639325,0.03475698622452639,0.04979039782080408
micro_biotech_speculative:abnormal,54,1,0.07574354495714919,0.03947722236130813,0.08144533701518764,0.13614055290839486,0.7777777777777778,0.46296296296296297,-0.02543823487141634,0.18397562213954263,0.12474146899067029,0.19984467674849601,0.3797838706333575,0.9814814814814815,0.8148148148148148,-0.07231028381714066,0.3313034115534351,0.14243083003952567,0.44925639560195085,0.9082043226779204,0.9615384615384616,0.7884615384615384,-0.06382600296877917,0.1752157178447321,0.11651583710407243,0.12225582703952577,0.08331278489148453,0.26388979563210413,0.1821314401959564,0.26095800205544917
micro_biotech_speculative:non_abnormal,258,1,0.041207488577372844,0.027116159765481762,0.0492700729927007,0.08669100564221707,0.5953307392996109,0.23735408560311283,0.0015097819941677637,0.11674234458620908,0.06813996316758753,0.13731343283582087,0.2519437072831356,0.8735177865612648,0.6284584980237155,0.0017488457986473704,0.27325760768302576,0.1149354416322742,0.3781028847380766,0.851649389653168,0.8958333333333334,0.7375,-0.03652319006302159,0.09443039183570036,0.06918238993710701,0.11515191604704814,0.07132298595713227,0.1736763558735044,0.11764705882352955,0.1928064398097331
micro_defense_drone:abnormal,96,1,0.07316950273659568,0.05660377358490565,0.08904440154440157,0.15517452080971297,0.8315789473684211,0.5789473684210527,0.010037603302935495,0.17080292765486443,0.09324758842443726,0.21065653675800533,0.3838845726970034,0.8421052631578947,0.7473684210526316,0.08956662105298355,0.3418727405699627,0.2498094802621551,0.47194730287736786,0.7316455696202533,0.9195402298850575,0.8160919540229885,0.2627682306988621,0.10749554190582249,0.06822463768115938,0.23473583840102433,0.14671814671814687,0.2803449469237485,0.2249614791987673,0.3360858101629913
micro_defense_drone:non_abnormal,216,1,0.05234189250191744,0.03408587591579332,0.07318952234206474,0.11389544025157233,0.6944444444444444,0.41203703703703703,0.00937654392053323,0.1308417295990257,0.10411953242835598,0.1726456879331179,0.2630868035670457,0.9339622641509434,0.7688679245283019,0.03447957128890644,0.38679818862950704,0.2435897435897435,0.48517940717628705,0.8586959583157299,0.9658536585365853,0.8780487804878049,0.23297127982805205,0.10097237451587635,0.09492071547988679,0.1592739631683759,0.11572132618249253,0.21131668754228844,0.17011339236597878,0.23735886107020124
mid_consumer_retail:abnormal,129,2,0.035338824802101036,0.026505619862439156,0.04720782959124925,0.06774553678183684,0.6046511627906976,0.2248062015503876,-0.0013941561065886844,0.07615199351200751,0.06524590163934418,0.10447257383966235,0.16882561714955616,0.8837209302325582,0.5658914728682171,-0.009859042856498449,0.17407018192392917,0.14887983706720986,0.2603635614604254,0.3485958276549634,0.9230769230769231,0.8461538461538461,-0.020159689356286273,0.08055905442695148,0.06604572396274344,0.06763462821614998,0.055372492836676335,0.1222453191744696,0.10488459473966727,0.16302053348685464
mid_consumer_retail:non_abnormal,495,2,0.025773633585554123,0.01819898703751388,0.03449305659250412,0.05814710376216108,0.4665314401622718,0.14198782961460446,0.0006670486333772039,0.06290262939904097,0.04874537227478415,0.08444519506840065,0.15056679754959373,0.7587628865979381,0.4865979381443299,0.003301149953796869,0.14508955790999753,0.12717471208037234,0.19921448743130665,0.2891424510826618,0.9293361884368309,0.8051391862955032,7.90378823170046e-05,0.06121084079280324,0.04798222880414671,0.0656061137253908,0.05193375454719518,0.09998338432721725,0.08326456310679631,0.12225271801110016
mid_industrial_aerospace:abnormal,68,1,0.043939251948387235,0.03118503118503113,0.05506141904592532,0.09200174981252009,0.6567164179104478,0.2835820895522388,0.009414453235443094,0.09321731265072909,0.06258692628650908,0.11863096261592504,0.22353132458815944,0.8955223880597015,0.582089552238806,0.04385354691690157,0.2102168847679387,0.12641442179347173,0.27194774749796713,0.48196499701864787,0.9,0.8333333333333334,0.14407333148552967,0.0719567701607951,0.06331471135940403,0.13252058251406001,0.09466303077522409,0.16020675662719772,0.1255908170155302,0.1854626166730597
mid_industrial_aerospace:non_abnormal,244,1,0.034743234433272555,0.02555936632369754,0.04447133451582838,0.07693668849821908,0.5778688524590164,0.22131147540983606,0.006024013239403011,0.08320430946740953,0.05863407538936688,0.11443920009936659,0.21502289327720941,0.7833333333333333,0.5666666666666667,0.031094653066426267,0.22952555844149555,0.14077968696848064,0.2887494188749419,0.4953102501990411,0.9568965517241379,0.8706896551724138,0.14025006603692694,0.06707385297226408,0.053924127637301755,0.10438362137394368,0.07382194232464134,0.13828460786218033,0.10972600212186912,0.16762672811059914
small_biotech:abnormal,70,1,0.0443586427532644,0.031790353980794994,0.06067318402844718,0.10654264907347327,0.7285714285714285,0.3,0.0020894313967314672,0.1388299411163979,0.07824267782426775,0.149673202614379,0.19302012756776166,0.8405797101449275,0.6231884057971014,0.042366705519673545,0.26115660023586806,0.15172142015733014,0.2266364291533496,0.7082136905524927,0.9193548387096774,0.7741935483870968,0.07828881311128921,0.08656472298383096,0.062475396259155824,0.16521698070512963,0.07626831299723602,0.21330468452959317,0.14475197699496756,0.20461904375303935
small_biotech:non_abnormal,242,1,0.042385107536059216,0.02570233114166176,0.04965243296921551,0.08046144859813087,0.5975103734439834,0.24896265560165975,0.0038784035035118463,0.09936647760534935,0.06929422283595937,0.12505316838392444,0.18159186873858368,0.8823529411764706,0.6764705882352942,0.008090811437863853,0.1963054287955915,0.13728983182846527,0.20991718742914914,0.2768397495004521,0.8869565217391304,0.7869565217391304,0.0067572441507488,0.09085110155641966,0.0793129200896191,0.10183642896717233,0.05818965517241392,0.1561657541997665,0.1258941344778255,0.18074887277004503
small_communications_satellite:abnormal,78,1,0.08038857976379994,0.048387096774193505,0.08224956063268896,0.14566977687138682,0.8441558441558441,0.4935064935064935,0.026957273033835907,0.159474311816181,0.07755102040816342,0.14959016393442637,0.34365737560113907,0.8701298701298701,0.7402597402597403,0.08427976994301728,0.5224272910444039,0.27419354838709675,0.4601788168983003,1.3821656050955418,0.9295774647887324,0.8450704225352113,0.38622197715889,0.0979822475097428,0.09217737917289492,0.21474509312186468,0.1295116772823779,0.26219925288354107,0.18173836698858647,0.2474949899799599
small_communications_satellite:non_abnormal,234,1,0.04712327290483363,0.031769251157006406,0.062199099261947666,0.10661365876613367,0.6923076923076923,0.33760683760683763,0.004735673491723439,0.1194864018950153,0.07100777541022679,0.12594736030732187,0.23470212108582952,0.8695652173913043,0.6478260869565218,0.04278481489666237,0.35323464687565287,0.16142050040355127,0.3311068702290074,0.9291044776119401,0.9321266968325792,0.8506787330316742,0.21989856812127695,0.0920764671979422,0.08692856207780042,0.1543734813151642,0.09687518295181796,0.19730665970528086,0.1459717588608586,0.21344236888557755
small_industrial_aerospace:abnormal,89,1,0.051596192596827975,0.03426061361214949,0.06434721111862735,0.11178378378378381,0.7727272727272727,0.38636363636363635,-0.0011929476184485246,0.09419152012166722,0.08419775561288556,0.13294293277517852,0.20931194787592006,0.8295454545454546,0.6136363636363636,0.013084506464359873,0.20207514383443376,0.13790493860312958,0.22880595705276358,0.4203850267379681,0.85,0.7875,0.07250014754226287,0.09479590052712782,0.06981000295602485,0.12818380134270158,0.09178176890117862,0.17661198001943068,0.14188218390804597,0.23709162162664144
small_industrial_aerospace:non_abnormal,223,1,0.03624740925667574,0.025700934579439227,0.051670311946334924,0.08148479774086206,0.5739910313901345,0.2556053811659193,0.005028526991669919,0.09489006672892883,0.06744186046511624,0.1178190448228616,0.1935249462103682,0.8538812785388128,0.6529680365296804,0.01883309314750045,0.2312915590486838,0.14345398681055155,0.21513224454400923,0.5667611205706203,0.9669811320754716,0.8584905660377359,0.06712551268510494,0.07611529535082363,0.06621004566210043,0.1097268759358749,0.06896551724137945,0.15040266518328999,0.11135371179039288,0.18714045475247865
