symbol,bucket,date,is_abnormal,activity_type,return_zscore,volume_zscore,relative_strength_zscore,gap_pct,same_day_return,fwd_1d,fwd_5d,fwd_20d,dd_5d,mfe_5d
LLY,large_healthcare,2025-01-22,False,,,,,,0.015666464605644137,0.01673784450515936,0.06644738587230425,0.15801480145361935,-0.012904851587575261,0.0824557680575082
LLY,large_healthcare,2025-01-23,False,,,,,,0.01673784450515936,0.024536916253587115,0.07387164101226196,0.13968171145316965,-0.00797025828332898,0.07568484216018789
LLY,large_healthcare,2025-01-24,False,,,,,,0.024536916253587115,0.028978495308183083,0.03268356654486193,0.12221642199615479,-0.008530576386855171,0.0533988617410015
LLY,large_healthcare,2025-01-27,False,,,,,,0.028978495308183083,-0.003934815694717653,0.002796441342786782,0.11585433757748986,-0.011346622616528634,0.02373263051090735
LLY,large_healthcare,2025-01-28,True,false_breakout;liquidity_sweep_high;bull_trap,-0.218323,-0.473512,-0.527866,-0.001151,-0.003934815694717653,-0.0011304488254512135,0.026186660703859665,0.1366725052485125,-0.007441086224673654,0.02987614752978285
LLY,large_healthcare,2025-01-29,False,,,,,,-0.0011304488254512135,0.023816038205153767,0.047383344940801875,0.12570888468809072,-0.002897721619739335,0.053253407621132176
LLY,large_healthcare,2025-01-30,False,,,,,,0.023816038205153767,-0.014758937356510349,0.05726224748855113,0.11831444432297178,-0.026092343573485,0.07835817450773175
LLY,large_healthcare,2025-01-31,False,,,,,,-0.014758937356510349,-0.0008014006016670017,0.08288948069241009,0.1462741036642501,-0.01150318094392666,0.09651329092074756
LLY,large_healthcare,2025-02-03,False,,,,,,-0.0008014006016670017,0.019298397147193613,0.07212220672976088,0.12416865120985165,-0.00554643831052648,0.09739274212455129
LLY,large_healthcare,2025-02-04,False,,,,,,0.019298397147193613,0.019501979251152823,0.04712675681237655,0.12547362814289342,0.0060355659931965455,0.07661578316607542
LLY,large_healthcare,2025-02-05,False,,,,,,0.019501979251152823,0.033472654301930804,0.03655988031062263,0.08380631218979318,-0.00780118264504015,0.05602127811156765
LLY,large_healthcare,2025-02-06,False,,,,,,0.033472654301930804,0.009122557073428572,0.0017119156220917198,-0.0009076599607062974,-0.016383836759079506,0.02181830715672639
LLY,large_healthcare,2025-02-07,True,false_breakout;liquidity_sweep_high;bull_trap,0.12201,0.101994,0.521111,0.007077,0.009122557073428572,-0.010736528105110943,-0.03875624779405895,-0.05527661076385326,-0.04192141726725185,0.005908961528389822
LLY,large_healthcare,2025-02-10,False,,,,,,-0.010736528105110943,-0.004465518828837167,-0.013442592763097228,-0.05158364791455672,-0.03152334039222904,0.016826144001473198
LLY,large_healthcare,2025-02-11,False,,,,,,-0.004465518828837167,0.009213872832370074,0.002369942196531749,-0.04987283236994222,-0.027179190751445037,0.02138716763005788
LLY,large_healthcare,2025-02-12,False,,,,,,0.009213872832370074,-0.0012715213581222518,0.00017182721055708505,-0.08169811104619862,-0.036060803922242535,0.012062155629632088
LLY,large_healthcare,2025-02-13,False,,,,,,-0.0012715213581222518,-0.031644988874360624,0.002087491110958073,-0.06696029178996632,-0.034833574197692285,0.025852774528020595
LLY,large_healthcare,2025-02-14,True,return_zscore,-2.248278,-0.2836,-1.896687,-0.003166,-0.031644988874360624,0.015315005863053344,0.043978821940848345,-0.023108721143709987,0.00839778743766817,0.05937673966858936
LLY,large_healthcare,2025-02-18,False,,,,,,0.015315005863053344,0.011490900606626164,0.052029864675688264,-0.04046896873541772,-2.9164722351926464e-05,0.06392895473635085
LLY,large_healthcare,2025-02-19,False,,,,,,0.011490900606626164,0.0070007496684159065,0.05531399573265672,-0.034646214174499645,-0.003517674874574661,0.06387163370047877
LLY,large_healthcare,2025-02-20,False,,,,,,0.0070007496684159065,0.0006413780465457375,0.03669598680593733,-0.034989463074949545,-0.0035533489096573057,0.0599917537108301
LLY,large_healthcare,2025-02-21,True,false_breakout;liquidity_sweep_high;bull_trap,-0.433028,0.461213,0.613514,0.00859,0.0006413780465457375,0.008836187162347908,0.05373821078655805,-0.041330922076732834,-0.004192038274883125,0.05931233403534475
