family_key,event_key,symbol,control_date,horizon_days,baseline_close,forward_close,directional_return,absolute_return,path_range,control_role
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-15,1,54.49,52.9,-0.02917966599376043,0.02917966599376043,0.05982749128280429,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-19,1,52.9,51.77,-0.02136105860113413,0.02136105860113413,0.04952741020793938,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-21,1,53.35,55.6,0.04217432052483594,0.04217432052483594,0.04179943767572625,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-22,1,55.6,53.05,-0.045863309352518034,0.045863309352518034,0.057194244604316435,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-25,1,53.05,54.35,0.02450518378887856,0.02450518378887856,0.04184731385485385,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-26,1,54.35,55.0,0.011959521619135272,0.011959521619135272,0.040846366145354085,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-27,1,55.0,56.34,0.024363636363636365,0.024363636363636365,0.03709090909090906,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-28,1,56.34,58.4,0.03656372026979038,0.03656372026979038,0.03709620163294303,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-29,1,58.4,56.775,-0.02782534246575341,0.02782534246575341,0.020034246575342585,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-08,5,55.9,54.49,-0.025223613595706573,0.025223613595706573,0.06654740608228982,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-11,5,54.97,52.9,-0.03765690376569042,0.03765690376569042,0.0751318901218847,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-12,5,54.98,51.77,-0.058384867224445136,0.058384867224445136,0.1187704619861768,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-13,5,53.7,53.35,-0.0065176908752327956,0.0065176908752327956,0.1216014897579144,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-14,5,55.9,55.6,-0.005366726296958779,0.005366726296958779,0.11073345259391776,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-15,5,54.49,53.05,-0.026426867315103797,0.026426867315103797,0.11359882547256372,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-19,5,52.9,54.35,0.027410207939508657,0.027410207939508657,0.1170132325141775,pre_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-21,5,53.35,56.34,0.05604498594189322,0.05604498594189322,0.08041237113402067,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-22,5,55.6,58.4,0.050359712230215736,0.050359712230215736,0.09982014388489213,post_event_control
cpi_inflation_release,cpi_inflation_release:2016-01-20T08:30:00-05:00,XLE,2016-01-25,5,53.05,56.775,0.07021677662582482,0.07021677662582482,0.10273327049952874,post_event_control
