subset,n,event_dates,symbols,mean_event_ret,mean_control_ret,mean_ret_delta,median_ret_delta,mean_abs_delta,mean_path_delta,positive_ret_delta_share,positive_abs_delta_share,corr_cpi_mom_event_ret,corr_core_mom_event_ret,corr_cpi_yoy_event_ret,corr_core_yoy_event_ret
abnormal_any_XLP_h5,44,44,1,0.0004233348332817289,0.0019310745224653477,-0.0015077396891836187,0.0013715749620750526,0.001470213339284337,0.001303888085518473,0.5454545454545454,0.4318181818181818,0.01982163126597353,0.01723393980515368,-0.035074679300217064,-0.04459949566342958
abnormal_any_XLU_h5,44,44,1,-0.002506277122719003,0.002359359575513316,-0.004865636698232319,-0.0015824977624331353,0.0027686921229823753,3.209122396248393e-05,0.4318181818181818,0.5681818181818182,0.0007797097070782009,-0.013620772704388572,-0.08826332610963862,-0.12658907536933026
abnormal_any_XLV_h5,44,44,1,0.002951905482670615,0.0018780524728270209,0.0010738530098435945,0.00372913880175111,0.004613909932567535,0.0031222693345352506,0.6363636363636364,0.6136363636363636,-0.1119461334395486,-0.11850673676113582,-0.2410660456426888,-0.2668327755670837
abnormal_any_XLY_h5,44,44,1,0.0023121706029619123,0.002925004526342764,-0.0006128339233808513,0.0029506680478651815,0.0010321287603105678,0.0006408903038735078,0.5227272727272727,0.5454545454545454,-0.06642157058812037,-0.1945268193430605,-0.11418148930476203,-0.11503042626172373
abnormal_any_XOP_h5,44,44,1,-0.004406692521039974,0.02276125671479487,-0.027167949235834845,-0.01094501753584433,-0.01352655292546772,-0.01217755322222875,0.4090909090909091,0.4318181818181818,-0.0824814487188384,-0.12546697855245134,-0.08703243075229904,-0.11201272217243832
abnormal_any_HYG_h10,44,44,1,-0.0019372641921131149,-0.000826156645454695,-0.0011111075466584198,0.0015549041239562348,0.000648224109548559,0.0002058029848637676,0.6136363636363636,0.45454545454545453,0.14098952869840767,-0.040668840313134606,-0.14021943002990675,-0.14045859286028298
abnormal_any_TLT_h10,44,44,1,-0.004727229207869466,-0.005938855696931731,0.001211626489062265,0.001078606837495744,-0.001556619768561231,-0.0023335621783196095,0.5909090909090909,0.45454545454545453,0.00021477043174175742,-0.03896233229353889,-0.12679807898947543,-0.13049413398694362
abnormal_any_XLB_h10,44,44,1,-0.0030537681425256754,0.007895181862980712,-0.010948950005506388,-0.013721573002254529,0.005024894961851205,0.003694860505532128,0.4318181818181818,0.5,-0.04744068777936795,-0.1630364458930613,-0.1611735456950378,-0.15760756604463483
abnormal_any_XLE_h10,44,44,1,-0.00278394106459226,0.018851640397569445,-0.021635581462161706,-0.020516903343435866,0.0011420129107089054,-0.000739621131773961,0.36363636363636365,0.5681818181818182,-0.10542434042347759,-0.17226490595723734,-0.006012663944157757,-0.024026588727434666
abnormal_any_XLF_h10,44,44,1,-0.004648291996716872,0.00706355201938501,-0.011711844016101881,-0.008995881650375064,-0.0004607521769252526,0.003006478186672568,0.38636363636363635,0.36363636363636365,-0.0141850313536286,-0.10856013514827777,-0.0558141724085408,-0.0677543230763178
abnormal_any_XLI_h10,44,44,1,-0.003594058606218564,0.008941356543641562,-0.012535415149860125,-0.008959518782300446,0.0019098711757459597,0.0028214776866872585,0.36363636363636365,0.4090909090909091,-0.016165105264725643,-0.17184862915408605,-0.16399633846850167,-0.16959962518201221
abnormal_any_XLK_h10,44,44,1,0.006072270178667864,0.011324855937804197,-0.0052525857591363325,-0.004832214834709959,0.0019148597836184896,0.004224213401894957,0.4090909090909091,0.5227272727272727,0.06823637468853029,-0.0026502908758935517,-0.20002267759373052,-0.1888739282482027
abnormal_any_XLP_h10,44,44,1,-0.0017479185369504537,0.00403816407910075,-0.005786082616051204,-0.004534919690469635,0.000850960191728212,0.0019162962167821671,0.38636363636363635,0.45454545454545453,0.2269018014437032,0.09146559676414463,0.06642044982004593,0.0413979285247354
abnormal_any_XLU_h10,44,44,1,-0.008918782989265739,0.00565417080996108,-0.014572953799226818,-0.014416186549731237,0.003601417450890234,0.0020989150813582693,0.20454545454545456,0.4772727272727273,0.1321781844047667,0.10975776966379745,0.07295120961712581,0.03202711967211993
abnormal_any_XLV_h10,44,44,1,0.000755963586502673,0.003881874761135507,-0.003125911174632834,-0.001036695070193345,0.0069785907302403714,0.0035371764609094625,0.4772727272727273,0.6136363636363636,0.032960029211081446,0.03217710772937931,-0.08316854674904729,-0.11814561905413076
abnormal_any_XLY_h10,44,44,1,-0.0016713883138191206,0.0059797549576198344,-0.0076511432714389555,-0.0029186687949628205,0.0012137763115538478,0.004969689672578198,0.38636363636363635,0.4090909090909091,-0.018400752692824686,-0.13394440290519852,-0.21423348978426468,-0.20178089992934387
abnormal_any_XOP_h10,44,44,1,0.0010223254886685205,0.0339020940665237,-0.03287976857785518,-0.00625482268027619,-0.015668613282089943,-0.010436094845739262,0.45454545454545453,0.5227272727272727,-0.1943539055404164,-0.22166631043753238,-0.09180769536875166,-0.09566248046564146
