direction_hypothesis,direction_sign,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_base_close,event_count,event_date,event_fwd_10d,event_fwd_14d,event_fwd_1d,event_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,event_prior_1d_abs_return,event_prior_1d_return,matched_control_count,symbol
bullish_activity,1,,,0.061385620915032746,0.05181699346405222,191.25,2,2026-05-01,,,0.061385620915032746,0.05181699346405222,,,0.034524967320261446,-0.044183006535947644,,,0.0808366013071895,0.09218300653594769,,,0.04631163398692812,0.13636601307189533,0.018533312030675875,0.018533312030675875,3,COIN
bullish_activity_or_put_selling,0,,,0.061385620915032746,0.05181699346405222,191.25,4,2026-05-01,,,0.061385620915032746,0.05181699346405222,,,0.034524967320261446,-0.044183006535947644,,,0.0808366013071895,0.09218300653594769,,,0.04631163398692812,0.13636601307189533,0.018533312030675875,0.018533312030675875,3,COIN
mixed_or_conflicting_activity,0,,,0.061385620915032746,0.05181699346405222,191.25,13,2026-05-01,,,0.061385620915032746,0.05181699346405222,,,0.034524967320261446,-0.044183006535947644,,,0.0808366013071895,0.09218300653594769,,,0.04631163398692812,0.13636601307189533,0.018533312030675875,0.018533312030675875,3,COIN
bearish_activity,-1,0.03608891787597135,0.00809826621012022,0.004021957715093283,0.006630795151910451,183.99,6,2026-04-17,0.03608891787597135,-0.00809826621012022,-0.004021957715093283,0.006630795151910451,-0.008967878689059239,-0.024240447850426672,-0.006304690472308305,-0.008967878689059239,0.05511169085276357,0.05511169085276357,0.012391977824881772,0.029512473503994663,0.06407956954182288,0.07935213870319036,0.01869666829719005,0.03848035219305388,0.022110018602179093,-0.022110018602179093,3,CVX
bearish_activity_or_call_selling,0,0.03608891787597135,0.00809826621012022,0.004021957715093283,0.006630795151910451,183.99,3,2026-04-17,0.03608891787597135,-0.00809826621012022,-0.004021957715093283,0.006630795151910451,-0.008967878689059239,-0.024240447850426672,-0.006304690472308305,-0.008967878689059239,0.05511169085276357,0.05511169085276357,0.012391977824881772,0.029512473503994663,0.06407956954182288,0.07935213870319036,0.01869666829719005,0.03848035219305388,0.022110018602179093,-0.022110018602179093,3,CVX
bullish_activity,1,0.03608891787597135,0.00809826621012022,0.004021957715093283,0.006630795151910451,183.99,3,2026-04-17,0.03608891787597135,-0.00809826621012022,-0.004021957715093283,0.006630795151910451,-0.008967878689059239,-0.024240447850426672,-0.006304690472308305,-0.008967878689059239,0.05511169085276357,0.05511169085276357,0.012391977824881772,0.029512473503994663,0.06407956954182288,0.07935213870319036,0.01869666829719005,0.03848035219305388,0.022110018602179093,-0.022110018602179093,3,CVX
bullish_activity_or_put_selling,0,0.03608891787597135,0.00809826621012022,0.004021957715093283,0.006630795151910451,183.99,2,2026-04-17,0.03608891787597135,-0.00809826621012022,-0.004021957715093283,0.006630795151910451,-0.008967878689059239,-0.024240447850426672,-0.006304690472308305,-0.008967878689059239,0.05511169085276357,0.05511169085276357,0.012391977824881772,0.029512473503994663,0.06407956954182288,0.07935213870319036,0.01869666829719005,0.03848035219305388,0.022110018602179093,-0.022110018602179093,3,CVX
mixed_or_conflicting_activity,0,0.03608891787597135,0.00809826621012022,0.004021957715093283,0.006630795151910451,183.99,8,2026-04-17,0.03608891787597135,-0.00809826621012022,-0.004021957715093283,0.006630795151910451,-0.008967878689059239,-0.024240447850426672,-0.006304690472308305,-0.008967878689059239,0.05511169085276357,0.05511169085276357,0.012391977824881772,0.029512473503994663,0.06407956954182288,0.07935213870319036,0.01869666829719005,0.03848035219305388,0.022110018602179093,-0.022110018602179093,3,CVX
bearish_activity,-1,0.019383402624048363,0.007720965390637602,0.002321688893688334,0.029264078613465694,185.21,3,2026-04-24,-0.019383402624048363,0.007720965390637602,-0.002321688893688334,0.029264078613465694,-0.030667890502672712,-0.030667890502672712,-0.008314885805302152,-0.008314885805302152,0.04816154635278869,0.04816154635278869,0.01706171373036014,0.04816154635278869,0.07882943685546133,0.07882943685546133,0.025376599535662313,0.05647643215809085,0.01273987206823024,-0.01273987206823024,3,CVX
bearish_activity_or_call_selling,0,0.019383402624048363,0.007720965390637602,0.002321688893688334,0.029264078613465694,185.21,4,2026-04-24,-0.019383402624048363,0.007720965390637602,-0.002321688893688334,0.029264078613465694,-0.030667890502672712,-0.030667890502672712,-0.008314885805302152,-0.008314885805302152,0.04816154635278869,0.04816154635278869,0.01706171373036014,0.04816154635278869,0.07882943685546133,0.07882943685546133,0.025376599535662313,0.05647643215809085,0.01273987206823024,-0.01273987206823024,3,CVX
bullish_activity,1,0.019383402624048363,0.007720965390637602,0.002321688893688334,0.029264078613465694,185.21,2,2026-04-24,-0.019383402624048363,0.007720965390637602,-0.002321688893688334,0.029264078613465694,-0.030667890502672712,-0.030667890502672712,-0.008314885805302152,-0.008314885805302152,0.04816154635278869,0.04816154635278869,0.01706171373036014,0.04816154635278869,0.07882943685546133,0.07882943685546133,0.025376599535662313,0.05647643215809085,0.01273987206823024,-0.01273987206823024,3,CVX
bullish_activity_or_put_selling,0,0.019383402624048363,0.007720965390637602,0.002321688893688334,0.029264078613465694,185.21,1,2026-04-24,-0.019383402624048363,0.007720965390637602,-0.002321688893688334,0.029264078613465694,-0.030667890502672712,-0.030667890502672712,-0.008314885805302152,-0.008314885805302152,0.04816154635278869,0.04816154635278869,0.01706171373036014,0.04816154635278869,0.07882943685546133,0.07882943685546133,0.025376599535662313,0.05647643215809085,0.01273987206823024,-0.01273987206823024,3,CVX
