complete_option_event_count,direction_hypothesis_count,direction_hypothesis_summary,event_abs_fwd_10d,event_abs_fwd_14d,event_abs_fwd_1d,event_abs_fwd_5d,event_date,event_directional_fwd_10d,event_directional_fwd_14d,event_directional_fwd_1d,event_directional_fwd_5d,event_mae_10d,event_mae_14d,event_mae_1d,event_mae_5d,event_mfe_10d,event_mfe_14d,event_mfe_1d,event_mfe_5d,event_path_range_10d,event_path_range_14d,event_path_range_1d,event_path_range_5d,shell_status,symbol
14,4,bearish_activity_or_call_selling:2;bullish_activity:3;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:8,0.04888888888888887,0.04629629629629628,0.007777777777777772,0.024814814814814845,2026-04-24,-0.04888888888888887,-0.04629629629629628,-0.007777777777777772,-0.024814814814814845,-0.051851851851851816,-0.051851851851851816,-0.007777777777777772,-0.029629629629629672,0.021481481481481435,0.021481481481481435,0.012777777777777777,0.021481481481481435,0.07333333333333322,0.07333333333333322,0.020555555555555546,0.05111111111111107,non_earnings_window,PFE
20,5,bearish_activity:5;bearish_activity_or_call_selling:2;bullish_activity:1;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:11,,,0.0011393847322445083,0.024686669198632716,2026-05-01,,,-0.0011393847322445083,-0.024686669198632716,,,-0.006836308393467494,-0.02772502848461822,,,0.006836308393467716,0.015951386251424227,,,0.01367261678693517,0.04367641473604249,non_earnings_window,PFE
23,5,bearish_activity:4;bearish_activity_or_call_selling:4;bullish_activity:5;bullish_activity_or_put_selling:3;mixed_or_conflicting_activity:7,0.07063679245283017,0.07334905660377355,0.05495283018867925,0.06037735849056591,2026-04-17,-0.07063679245283017,-0.07334905660377355,0.05495283018867925,-0.06037735849056591,-0.1274764150943396,-0.1274764150943396,-0.002358490566037763,-0.0674528301886792,0.09787735849056611,0.09787735849056611,0.06544811320754707,0.09787735849056611,0.22535377358490566,0.22535377358490566,0.06780660377358491,0.16533018867924523,non_earnings_window,RKLB
24,5,bearish_activity:6;bearish_activity_or_call_selling:1;bullish_activity:3;bullish_activity_or_put_selling:3;mixed_or_conflicting_activity:11,0.3236696787148594,0.6635291164658634,0.03275602409638556,0.010918674698795261,2026-04-24,0.3236696787148594,0.6635291164658634,0.03275602409638556,-0.010918674698795261,-0.07141064257028129,-0.07141064257028129,-0.03296310240963862,-0.07141064257028129,0.3255522088353413,0.671434487951807,0.03514056224899598,0.05158132530120474,0.3969628514056226,0.7428451305220884,0.06810366465863459,0.12299196787148607,non_earnings_window,RKLB
23,5,bearish_activity:5;bearish_activity_or_call_selling:3;bullish_activity:4;bullish_activity_or_put_selling:3;mixed_or_conflicting_activity:8,,,0.019033117624666973,0.33828194391574673,2026-05-01,,,0.019033117624666973,0.33828194391574673,,,-0.0324831874127649,-0.0324831874127649,,,0.03835807638624544,0.34018525567821345,,,0.07084126379901026,0.37266844309097835,non_earnings_window,RKLB
22,4,bearish_activity:9;bullish_activity:11;bullish_activity_or_put_selling:1;mixed_or_conflicting_activity:1,0.02446208377015624,0.027881783235984336,0.02026858369527229,0.06070590584593882,2026-04-17,-0.02446208377015624,0.027881783235984336,-0.02026858369527229,-0.06070590584593882,-0.09135839448854277,-0.09135839448854277,-0.0306774499525736,-0.08045030203185066,0.01542608956118019,0.03796615246368118,0.01542608956118019,0.01542608956118019,0.106784484049723,0.12932454695222406,0.04610353951375375,0.09587639159303087,non_earnings_window,TSLA
22,2,bearish_activity:11;bullish_activity:11,0.13832048897156524,0.17804942864735573,0.006298166356630386,0.038586234387456786,2026-04-24,0.13832048897156524,0.17804942864735573,0.006298166356630386,0.038586234387456786,-0.03263353707148564,-0.03263353707148564,-0.03263353707148564,-0.03263353707148564,0.14589423332447504,0.204889715652405,0.011905394631942512,0.057191336699441875,0.17852777039596068,0.2375232527238905,0.04453893170342809,0.0898248737709275,non_earnings_window,TSLA
22,4,bearish_activity:7;bullish_activity:10;bullish_activity_or_put_selling:3;mixed_or_conflicting_activity:2,,,0.004324241338723667,0.09602886239189412,2026-05-01,,,0.004324241338723667,0.09602886239189412,,,-0.015402487078450378,-0.01739931426232033,,,0.009774320659126978,0.10332122204595473,,,0.025176807737577304,0.12072053630827492,non_earnings_window,TSLA
22,4,bearish_activity:9;bearish_activity_or_call_selling:4;bullish_activity:6;mixed_or_conflicting_activity:3,0.04308931985796227,0.0009560229445506607,0.008467631794591757,0.016866976236000975,2026-04-17,0.04308931985796227,0.0009560229445506607,0.008467631794591757,0.016866976236000975,-0.0013657470636437852,-0.015364654465992889,-0.0006145861786397422,-0.0013657470636437852,0.06316580169352637,0.06316580169352637,0.020008194482382002,0.03270964217426919,0.0645315487571701,0.07853045615951926,0.020622780661021647,0.034075389237913006,non_earnings_window,XOM
23,4,bearish_activity_or_call_selling:5;bullish_activity:5;bullish_activity_or_put_selling:2;mixed_or_conflicting_activity:11,0.029145121214156244,0.02598885232690895,0.004835135316634154,0.025787388355382523,2026-04-24,-0.029145121214156244,0.02598885232690895,-0.004835135316634154,0.025787388355382523,-0.03350950238399042,-0.03350950238399042,-0.006311866227922902,-0.006311866227922902,0.045530857564972216,0.045530857564972216,0.015244107178832955,0.045530857564972216,0.07904035994896251,0.07904035994896251,0.02155597340675579,0.05184272379289501,non_earnings_window,XOM
